year,geo,hh,population,house_disp,employ_hash_education,employ_total,not_employ_total,employ_f,employ_m,child_avg_allwk,child_avg_allnowk,child_avg
2017,AL,HHC_22,0,28.879999999999995,0,0,0,0,0,0,0,0
2018,AL,HHC_22,0,26.719999999999995,0,0,0,0,0,0,0,0
2019,AL,HHC_22,0,27.466666666666672,0,0,0,0,0,0,0,0
2020,AL,HHC_22,0,25.25333333333333,0,0,0,0,0,0,0,0
2021,AL,HHC_22,0,27.566666666666666,0,0,0,0,0,0,0,0
2004,AT,HHC_22,0,32.42,0,0,0,0,0,0,0,0
2005,AT,HHC_22,0,31.14,0,0,0,0,0,0,0,0
2006,AT,HHC_22,357.09629629629626,32.2,0,134.45270270270268,172.60000000000002,82.54,160.9387755102041,0.0,0.0,0.0
2007,AT,HHC_22,362.6888888888889,32.82666666666667,0,137.77333333333334,171.11481481481482,83.59999999999998,166.5183673469387,0.0,0.0,0.0
2008,AT,HHC_22,368.562962962963,33.013333333333335,0,136.67307692307693,171.04444444444445,87.06538461538464,161.4769230769231,0.0,0.0,0.0
2009,AT,HHC_22,373.3925925925926,34.44666666666667,0,132.95949367088613,178.81481481481478,86.48461538461538,155.7584905660378,0.0,0.0,0.0
2010,AT,HHC_22,379.1740740740741,33.92,0,137.6367088607595,177.73703703703706,87.43076923076923,162.26603773584907,0.0,0.0,0.0
2011,AT,HHC_22,386.6444444444445,33.14,0,143.51794871794877,179.19259259259263,95.04999999999998,167.75192307692308,0.0,0.0,0.0
2012,AT,HHC_22,393.2148148148149,33.440000000000005,0,143.11898734177217,183.75925925925927,96.88076923076922,165.80188679245288,0.0,0.0,0.0
2013,AT,HHC_22,398.35185185185185,33.086666666666666,0,146.50379746835446,183.9444444444444,96.82307692307694,170.87547169811324,0.0,0.0,0.0
2014,AT,HHC_22,405.61851851851856,32.75333333333333,0,145.89493670886074,192.11851851851856,98.10384615384615,169.3396226415094,0.0,0.0,0.0
2015,AT,HHC_22,409.5777777777778,32.29333333333333,0,142.31,198.71851851851858,94.22307692307695,165.462962962963,0.0,0.0,0.0
2016,AT,HHC_22,414.29999999999995,32.21333333333333,0,148.57721518987339,196.86666666666665,96.93846153846152,173.90943396226416,0.0,0.0,0.0
2017,AT,HHC_22,414.16296296296304,31.586666666666662,0,148.9666666666667,198.9,99.56923076923077,173.66538461538454,0.0,0.0,0.0
2018,AT,HHC_22,421.74814814814823,31.886666666666663,0,156.2139240506329,193.1555555555556,99.16538461538462,184.20000000000002,0.0,0.0,0.0
2019,AT,HHC_22,429.5370370370371,31.973333333333326,0,159.15124999999998,193.73333333333332,103.22692307692304,186.07777777777778,0.0,0.0,0.0
2020,AT,HHC_22,434.44444444444446,31.933333333333334,0,154.06499999999997,206.18518518518522,102.48846153846151,178.89814814814815,0.0,0.0,0.0
2021,AT,HHC_22,449.57407407407413,31.126666666666665,0,159.30125000000007,213.53703703703707,106.00769230769232,184.9611111111112,0.0,0.0,0.0
2022,AT,HHC_22,456.8518518518518,31.480000000000004,0,164.48374999999993,213.14444444444442,107.89999999999999,191.72777777777773,0.0,0.0,0.0
2023,AT,HHC_22,470.97407407407405,32.726666666666674,0,172.91875,214.77407407407406,113.4307692307692,201.56111111111107,0.0,0.0,0.0
2004,BE,HHC_22,0,38.56666666666667,0,0,0,0,0,0,0,0
2005,BE,HHC_22,0,36.27333333333333,0,0,0,0,0,0,0,0
2006,BE,HHC_22,388.08148148148143,38.92666666666667,0,121.16538461538461,212.95185185185187,69.88846153846154,146.80384615384617,0.0,0.0,0.0
2007,BE,HHC_22,379.5555555555555,37.32000000000001,0,124.8051282051282,199.1888888888889,73.92692307692309,150.24423076923074,0.0,0.0,0.0
2008,BE,HHC_22,398.41851851851857,39.013333333333335,0,128.47721518987342,210.42222222222225,71.03333333333333,158.30384615384614,0.0,0.0,0.0
2009,BE,HHC_22,404.8629629629629,34.43333333333333,0,131.10519480519477,217.84814814814814,80.14,155.60769230769236,0.0,0.0,0.0
2010,BE,HHC_22,407.9592592592592,34.75333333333334,0,127.78101265822784,220.95185185185184,76.2423076923077,153.06415094339624,0.0,0.0,0.0
2011,BE,HHC_22,415.5000000000001,36.77333333333333,0,131.53205128205127,225.40740740740742,79.26538461538462,157.6653846153846,0.0,0.0,0.0
2012,BE,HHC_22,394.6296296296296,38.699999999999996,0,125.34050632911394,211.1962962962963,76.63461538461537,149.23396226415096,0.0,0.0,0.0
2013,BE,HHC_22,396.65185185185186,36.71333333333334,0,131.9846153846154,205.92222222222222,80.23846153846155,157.85769230769236,0.0,0.0,0.0
2014,BE,HHC_22,386.90000000000003,37.526666666666664,0,124.775,202.01481481481483,78.42692307692309,147.09074074074073,0.0,0.0,0.0
2015,BE,HHC_22,405.6888888888889,36.87333333333334,0,132.9012658227848,211.17777777777778,80.48846153846154,158.61320754716976,0.0,0.0,0.0
2016,BE,HHC_22,395.44444444444446,36.413333333333334,0,129.11265822784813,206.52592592592595,77.24999999999999,154.5547169811321,0.0,0.0,0.0
2017,BE,HHC_22,448.25925925925935,35.44666666666667,0,157.42631578947368,226.4925925925926,95.72000000000001,187.67450980392155,0.0,0.0,0.0
2018,BE,HHC_22,441.8222222222222,34.33333333333333,0,155.73164556962024,213.89999999999998,92.73333333333333,188.44230769230765,0.0,0.0,0.0
2019,BE,HHC_22,427.25925925925924,35.940000000000005,0,154.96153846153845,203.32222222222222,94.04999999999997,185.4173076923077,0.0,0.0,0.0
2020,BE,HHC_22,458.57037037037037,35.60666666666666,0,157.21265822784815,228.53333333333336,96.25384615384618,187.11698113207544,0.0,0.0,0.0
2021,BE,HHC_22,508.1592592592593,35.36666666666667,0,164.3384615384615,270.6629629629629,103.796,192.89622641509433,0.0,0.0,0.0
2022,BE,HHC_22,531.1259259259259,35.55999999999999,0,176.63461538461533,275.8814814814815,113.29599999999999,206.511320754717,0.0,0.0,0.0
2023,BE,HHC_22,530.2111111111111,36.56666666666667,0,176.83291139240507,271.46296296296293,111.30384615384618,208.97924528301886,0.0,0.0,0.0
2005,BG,HHC_22,0,35.660000000000004,0,0,0,0,0,0,0,0
2006,BG,HHC_22,190.5259259259259,35.660000000000004,0,54.11509433962262,135.16296296296295,38.39375,60.91351351351353,0.0,0.0,0.0
2007,BG,HHC_22,199.5259259259259,44.24,0,65.97755102040814,137.86666666666665,42.91874999999999,77.15757575757574,0.0,0.0,0.0
2008,BG,HHC_22,205.8296296296296,36.980000000000004,0,72.568,137.41851851851854,50.77333333333333,81.90857142857143,0.0,0.0,0.0
2009,BG,HHC_22,216.6851851851852,32.4,0,75.86800000000002,145.0,56.978571428571435,83.21388888888889,0.0,0.0,0.0
2010,BG,HHC_22,204.46296296296296,30.98666666666667,0,68.77708333333332,141.6925925925926,49.00714285714286,76.91764705882353,0.0,0.0,0.0
2011,BG,HHC_22,222.95555555555552,34.27333333333333,0,79.2404255319149,152.3148148148148,55.42857142857143,89.34242424242423,0.0,0.0,0.0
2012,BG,HHC_22,237.85555555555553,39.406666666666666,0,81.14166666666668,163.82222222222222,55.21428571428571,91.81764705882354,0.0,0.0,0.0
2013,BG,HHC_22,189.0185185185185,39.28666666666666,0,67.55208333333334,127.40740740740739,45.14000000000001,77.73939393939395,0.0,0.0,0.0
2014,BG,HHC_22,195.15925925925927,35.480000000000004,0,72.15744680851066,130.84444444444443,46.85,82.8939393939394,0.0,0.0,0.0
2015,BG,HHC_22,285.48148148148147,40.79333333333333,0,114.54339622641508,171.63703703703706,77.77333333333333,129.0578947368421,0.0,0.0,0.0
2016,BG,HHC_22,206.92222222222222,42.90666666666667,0,71.37924528301886,135.51111111111112,45.81875000000001,82.43243243243245,0.0,0.0,0.0
2017,BG,HHC_22,291.01481481481477,43.03333333333333,0,106.3483333333333,171.64444444444447,70.33999999999999,124.35249999999996,0.0,0.0,0.0
2018,BG,HHC_22,225.15185185185183,41.37333333333334,0,81.57678571428566,139.537037037037,52.65294117647058,94.18461538461538,0.0,0.0,0.0
2019,BG,HHC_22,229.1555555555556,40.126666666666665,0,94.91818181818182,131.32962962962964,60.09411764705882,110.49736842105263,0.0,0.0,0.0
2020,BG,HHC_22,226.76666666666668,36.86666666666667,0,90.67169811320757,136.57407407407408,59.31875,104.22972972972977,0.0,0.0,0.0
2021,BG,HHC_22,250.20740740740743,34.42666666666666,0,103.53725490196078,151.27037037037036,58.26470588235294,126.17352941176469,0.0,0.0,0.0
2022,BG,HHC_22,270.2148148148148,36.74666666666666,0,100.95409836065573,155.28518518518518,62.19473684210525,118.48809523809524,0.0,0.0,0.0
2023,BG,HHC_22,265.37407407407414,32.233333333333334,0,115.27358490566036,151.1074074074074,77.28124999999999,131.7027027027027,0.0,0.0,0.0
2007,CH,HHC_22,0,42.32000000000001,0,0,0,0,0,0,0,0
2008,CH,HHC_22,0,41.366666666666674,0,0,0,0,0,0,0,0
2009,CH,HHC_22,0,42.58,0,0,0,0,0,0,0,0
2010,CH,HHC_22,0,42.066666666666656,0,0,0,0,0,0,0,0
2011,CH,HHC_22,0,40.72,0,0,0,0,0,0,0,0
2012,CH,HHC_22,0,40.406666666666666,0,0,0,0,0,0,0,0
2013,CH,HHC_22,0,39.66,0,0,0,0,0,0,0,0
2014,CH,HHC_22,0,39.98,0,0,0,0,0,0,0,0
2015,CH,HHC_22,0,39.55333333333333,0,0,0,0,0,0,0,0
2016,CH,HHC_22,0,41.46,0,0,0,0,0,0,0,0
2017,CH,HHC_22,0,40.82666666666667,0,0,0,0,0,0,0,0
2018,CH,HHC_22,0,41.75333333333333,0,0,0,0,0,0,0,0
2019,CH,HHC_22,0,42.32000000000001,0,0,0,0,0,0,0,0
2020,CH,HHC_22,0,42.02666666666667,0,0,0,0,0,0,0,0
2021,CH,HHC_22,0,42.64666666666667,0,0,0,0,0,0,0,0
2022,CH,HHC_22,0,41.373333333333335,0,0,0,0,0,0,0,0
2005,CY,HHC_22,0,33.32,0,0,0,0,0,0,0,0
2006,CY,HHC_22,11.130769230769232,19.199999999999996,0,5.322807017543858,5.821739130434781,3.8649999999999998,6.1108108108108095,0.0,0.0,0.0
2007,CY,HHC_22,11.746153846153845,19.713333333333335,0,5.706779661016948,5.782608695652174,4.7894736842105265,6.142499999999998,0.0,0.0,0.0
2008,CY,HHC_22,11.684000000000001,17.326666666666664,0,5.775471698113207,6.705,4.617647058823529,6.322222222222222,0.0,0.0,0.0
2009,CY,HHC_22,11.092592592592593,15.439999999999998,0,5.111864406779661,5.84,3.9764705882352938,5.571428571428571,0.0,0.0,0.0
2010,CY,HHC_22,14.611111111111112,17.680000000000003,0,6.803030303030301,6.211111111111113,4.643478260869565,7.9581395348837205,0.0,0.0,0.0
2011,CY,HHC_22,16.9,19.92666666666667,0,7.486956521739132,7.262962962962963,5.7043478260869565,8.378260869565219,0.0,0.0,0.0
2012,CY,HHC_22,15.92222222222222,20.686666666666667,0,7.101562500000002,7.684615384615385,5.463157894736842,7.793333333333336,0.0,0.0,0.0
2013,CY,HHC_22,15.707407407407405,19.053333333333338,0,7.043548387096773,7.7846153846153845,5.089999999999999,7.973809523809522,0.0,0.0,0.0
2014,CY,HHC_22,17.17777777777778,20.319999999999997,0,8.009677419354839,8.176923076923076,6.419999999999999,8.766666666666667,0.0,0.0,0.0
2015,CY,HHC_22,18.51111111111111,20.153333333333332,0,7.868115942028987,8.403703703703703,6.027272727272727,8.729787234042558,0.0,0.0,0.0
2016,CY,HHC_22,21.577777777777776,17.62666666666667,0,8.390410958904111,10.196296296296296,5.779166666666668,9.669387755102042,0.0,0.0,0.0
2017,CY,HHC_22,22.385185185185183,18.066666666666666,0,8.774999999999999,10.640740740740743,5.483333333333332,10.420833333333333,0.0,0.0,0.0
2018,CY,HHC_22,23.33703703703704,16.946666666666665,0,9.576388888888891,10.522222222222224,6.436363636363637,10.958000000000004,0.0,0.0,0.0
2019,CY,HHC_22,23.881481481481483,17.31333333333333,0,9.843835616438353,10.540740740740741,6.42173913043478,11.418000000000005,0.0,0.0,0.0
2020,CY,HHC_22,23.56666666666667,18.58,0,9.594736842105263,10.048148148148151,6.236000000000001,11.241176470588236,0.0,0.0,0.0
2021,CY,HHC_22,24.90740740740741,19.553333333333335,0,10.206578947368422,10.923076923076925,6.192,12.174509803921566,0.0,0.0,0.0
2022,CY,HHC_22,26.033333333333328,20.186666666666667,0,10.872000000000003,11.319230769230769,7.108333333333332,12.643137254901964,0.0,0.0,0.0
2005,CZ,HHC_22,0,36.82,0,0,0,0,0,0,0,0
2006,CZ,HHC_22,288.3222222222222,38.57333333333334,0,83.38124999999998,164.76296296296297,49.47692307692308,99.7055555555555,0.0,0.0,0.0
2007,CZ,HHC_22,302.65555555555557,38.13333333333333,0,90.53703703703701,166.84444444444446,54.562962962962956,108.52407407407408,0.0,0.0,0.0
2008,CZ,HHC_22,322.4222222222222,39.126666666666665,0,98.34074074074074,174.91851851851857,56.78888888888888,119.1166666666667,0.0,0.0,0.0
2009,CZ,HHC_22,326.7851851851851,37.480000000000004,0,99.93209876543209,176.87777777777777,57.08888888888888,121.35370370370373,0.0,0.0,0.0
2010,CZ,HHC_22,340.25555555555553,38.26,0,105.87901234567897,181.42962962962963,58.611111111111114,129.51296296296294,0.0,0.0,0.0
2011,CZ,HHC_22,333.5888888888889,38.806666666666665,0,103.19382716049384,178.82592592592587,60.81481481481482,124.38333333333337,0.0,0.0,0.0
2012,CZ,HHC_22,337.1444444444445,40.766666666666666,0,104.83209876543212,179.89259259259256,60.937037037037044,126.77962962962964,0.0,0.0,0.0
2013,CZ,HHC_22,358.7481481481482,41.26,0,115.39382716049377,185.65185185185183,69.56296296296296,138.30925925925925,0.0,0.0,0.0
2014,CZ,HHC_22,381.32592592592584,39.92666666666666,0,121.72345679012348,198.74074074074076,75.90740740740739,144.6314814814815,0.0,0.0,0.0
2015,CZ,HHC_22,383.0703703703704,39.593333333333334,0,129.53750000000002,191.13333333333327,74.7925925925926,157.42641509433963,0.0,0.0,0.0
2016,CZ,HHC_22,396.5074074074074,39.31333333333334,0,134.09135802469135,195.3740740740741,82.2851851851852,159.99444444444447,0.0,0.0,0.0
2017,CZ,HHC_22,397.89259259259256,37.60000000000001,0,137.47037037037038,191.6851851851852,84.6148148148148,163.89814814814812,0.0,0.0,0.0
2018,CZ,HHC_22,425.2962962962963,36.306666666666665,0,157.66172839506171,188.82222222222222,94.02592592592595,189.47962962962958,0.0,0.0,0.0
2019,CZ,HHC_22,432.29629629629625,35.279999999999994,0,159.1765432098765,193.45925925925928,97.33333333333333,190.09814814814817,0.0,0.0,0.0
2020,CZ,HHC_22,441.05185185185184,33.72666666666666,0,160.00625000000005,204.00370370370368,94.41481481481482,193.42075471698115,0.0,0.0,0.0
2021,CZ,HHC_22,459.98888888888894,33.99333333333333,0,170.43580246913578,204.3407407407407,102.4666666666667,204.42037037037028,0.0,0.0,0.0
2022,CZ,HHC_22,452.42592592592604,33.96666666666667,0,167.48518518518514,201.1814814814815,100.61111111111111,200.92222222222225,0.0,0.0,0.0
