hhcomp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE
HHC_22,A_MD60,PC,AL,2017,24.3
HHC_22,A_MD60,PC,AL,2018,18.5
HHC_22,A_MD60,PC,AL,2019,19.8
HHC_22,A_MD60,PC,AL,2020,19.7
HHC_22,A_MD60,PC,AL,2021,20.1
HHC_22,A_MD60,PC,AT,2004,23.3
HHC_22,A_MD60,PC,AT,2005,21.7
HHC_22,A_MD60,PC,AT,2006,22.4
HHC_22,A_MD60,PC,AT,2007,23.0
HHC_22,A_MD60,PC,AT,2008,22.4
HHC_22,A_MD60,PC,AT,2009,23.0
HHC_22,A_MD60,PC,AT,2010,22.1
HHC_22,A_MD60,PC,AT,2011,22.5
HHC_22,A_MD60,PC,AT,2012,22.4
HHC_22,A_MD60,PC,AT,2013,22.7
HHC_22,A_MD60,PC,AT,2014,22.2
HHC_22,A_MD60,PC,AT,2015,22.5
HHC_22,A_MD60,PC,AT,2016,22.4
HHC_22,A_MD60,PC,AT,2017,21.8
HHC_22,A_MD60,PC,AT,2018,22.3
HHC_22,A_MD60,PC,AT,2019,22.0
HHC_22,A_MD60,PC,AT,2020,21.6
HHC_22,A_MD60,PC,AT,2021,21.2
HHC_22,A_MD60,PC,AT,2022,22.1
HHC_22,A_MD60,PC,AT,2023,22.6
HHC_22,A_MD60,PC,BE,2004,29.7
HHC_22,A_MD60,PC,BE,2005,28.2
HHC_22,A_MD60,PC,BE,2006,29.2
HHC_22,A_MD60,PC,BE,2007,28.6
HHC_22,A_MD60,PC,BE,2008,30.5
HHC_22,A_MD60,PC,BE,2009,27.2
HHC_22,A_MD60,PC,BE,2010,27.4
HHC_22,A_MD60,PC,BE,2011,28.3
HHC_22,A_MD60,PC,BE,2012,28.9
HHC_22,A_MD60,PC,BE,2013,27.9
HHC_22,A_MD60,PC,BE,2014,28.0
HHC_22,A_MD60,PC,BE,2015,27.6
HHC_22,A_MD60,PC,BE,2016,27.5
HHC_22,A_MD60,PC,BE,2017,27.1
HHC_22,A_MD60,PC,BE,2018,26.3
HHC_22,A_MD60,PC,BE,2019,26.2
HHC_22,A_MD60,PC,BE,2020,25.7
HHC_22,A_MD60,PC,BE,2021,26.0
HHC_22,A_MD60,PC,BE,2022,27.2
HHC_22,A_MD60,PC,BE,2023,28.0
HHC_22,A_MD60,PC,BG,2005,29.2
HHC_22,A_MD60,PC,BG,2006,29.2
HHC_22,A_MD60,PC,BG,2007,34.0
HHC_22,A_MD60,PC,BG,2008,29.5
HHC_22,A_MD60,PC,BG,2009,25.5
HHC_22,A_MD60,PC,BG,2010,23.3
HHC_22,A_MD60,PC,BG,2011,27.3
HHC_22,A_MD60,PC,BG,2012,31.9
HHC_22,A_MD60,PC,BG,2013,31.6
HHC_22,A_MD60,PC,BG,2014,27.6
HHC_22,A_MD60,PC,BG,2015,30.1
HHC_22,A_MD60,PC,BG,2016,32.5
HHC_22,A_MD60,PC,BG,2017,32.5
HHC_22,A_MD60,PC,BG,2018,30.7
HHC_22,A_MD60,PC,BG,2019,28.4
HHC_22,A_MD60,PC,BG,2020,27.9
HHC_22,A_MD60,PC,BG,2021,23.6
HHC_22,A_MD60,PC,BG,2022,25.4
HHC_22,A_MD60,PC,BG,2023,24.3
HHC_22,A_MD60,PC,CH,2007,31.1
HHC_22,A_MD60,PC,CH,2008,30.9
HHC_22,A_MD60,PC,CH,2009,31.0
HHC_22,A_MD60,PC,CH,2010,32.4
HHC_22,A_MD60,PC,CH,2011,31.2
HHC_22,A_MD60,PC,CH,2012,29.5
HHC_22,A_MD60,PC,CH,2013,29.3
HHC_22,A_MD60,PC,CH,2014,30.0
HHC_22,A_MD60,PC,CH,2015,30.0
HHC_22,A_MD60,PC,CH,2016,30.9
HHC_22,A_MD60,PC,CH,2017,30.4
HHC_22,A_MD60,PC,CH,2018,31.7
HHC_22,A_MD60,PC,CH,2019,31.9
HHC_22,A_MD60,PC,CH,2020,31.2
