hhwkstat,hhcomp,unit,geo,TIME_PERIOD,OBS_VALUE
HHW_10,HHC_21,PER,AT,2006,1.4
HHW_10,HHC_21,PER,AT,2007,1.4
HHW_10,HHC_21,PER,AT,2008,1.4
HHW_10,HHC_21,PER,AT,2009,1.5
HHW_10,HHC_21,PER,AT,2010,1.4
HHW_10,HHC_21,PER,AT,2011,1.4
HHW_10,HHC_21,PER,AT,2012,1.4
HHW_10,HHC_21,PER,AT,2013,1.4
HHW_10,HHC_21,PER,AT,2014,1.4
HHW_10,HHC_21,PER,AT,2015,1.5
HHW_10,HHC_21,PER,AT,2016,1.5
HHW_10,HHC_21,PER,AT,2017,1.4
HHW_10,HHC_21,PER,AT,2018,1.5
HHW_10,HHC_21,PER,AT,2019,1.5
HHW_10,HHC_21,PER,AT,2020,1.5
HHW_10,HHC_21,PER,AT,2021,1.5
HHW_10,HHC_21,PER,AT,2022,1.4
HHW_10,HHC_21,PER,AT,2023,1.4
HHW_10,HHC_21,PER,BA,2021,1.4
HHW_10,HHC_21,PER,BA,2022,1.3
HHW_10,HHC_21,PER,BA,2023,1.3
HHW_10,HHC_21,PER,BE,2006,1.6
HHW_10,HHC_21,PER,BE,2007,1.6
HHW_10,HHC_21,PER,BE,2008,1.6
HHW_10,HHC_21,PER,BE,2009,1.6
HHW_10,HHC_21,PER,BE,2010,1.5
HHW_10,HHC_21,PER,BE,2011,1.6
HHW_10,HHC_21,PER,BE,2012,1.6
HHW_10,HHC_21,PER,BE,2013,1.6
HHW_10,HHC_21,PER,BE,2014,1.6
HHW_10,HHC_21,PER,BE,2015,1.6
HHW_10,HHC_21,PER,BE,2016,1.6
HHW_10,HHC_21,PER,BE,2017,1.5
HHW_10,HHC_21,PER,BE,2018,1.6
HHW_10,HHC_21,PER,BE,2019,1.6
HHW_10,HHC_21,PER,BE,2020,1.6
HHW_10,HHC_21,PER,BE,2021,1.6
HHW_10,HHC_21,PER,BE,2022,1.5
HHW_10,HHC_21,PER,BE,2023,1.6
HHW_10,HHC_21,PER,BG,2006,1.3
HHW_10,HHC_21,PER,BG,2007,1.3
HHW_10,HHC_21,PER,BG,2008,1.2
HHW_10,HHC_21,PER,BG,2009,1.3
HHW_10,HHC_21,PER,BG,2010,1.3
HHW_10,HHC_21,PER,BG,2011,1.3
HHW_10,HHC_21,PER,BG,2012,1.3
HHW_10,HHC_21,PER,BG,2013,1.3
HHW_10,HHC_21,PER,BG,2014,1.2
HHW_10,HHC_21,PER,BG,2015,1.3
HHW_10,HHC_21,PER,BG,2016,1.3
HHW_10,HHC_21,PER,BG,2017,1.2
HHW_10,HHC_21,PER,BG,2018,1.3
HHW_10,HHC_21,PER,BG,2019,1.2
HHW_10,HHC_21,PER,BG,2020,1.3
HHW_10,HHC_21,PER,BG,2021,1.3
HHW_10,HHC_21,PER,BG,2022,1.3
HHW_10,HHC_21,PER,BG,2023,1.3
HHW_10,HHC_21,PER,CY,2006,1.4
HHW_10,HHC_21,PER,CY,2007,1.4
HHW_10,HHC_21,PER,CY,2008,1.5
HHW_10,HHC_21,PER,CY,2009,1.5
HHW_10,HHC_21,PER,CY,2010,1.5
HHW_10,HHC_21,PER,CY,2011,1.5
HHW_10,HHC_21,PER,CY,2012,1.5
HHW_10,HHC_21,PER,CY,2013,1.6
HHW_10,HHC_21,PER,CY,2014,1.5
HHW_10,HHC_21,PER,CY,2015,1.5
HHW_10,HHC_21,PER,CY,2016,1.5
HHW_10,HHC_21,PER,CY,2017,1.4
HHW_10,HHC_21,PER,CY,2018,1.4
HHW_10,HHC_21,PER,CY,2019,1.4
HHW_10,HHC_21,PER,CY,2020,1.4
HHW_10,HHC_21,PER,CY,2021,1.5
HHW_10,HHC_21,PER,CY,2022,1.3
HHW_10,HHC_21,PER,CY,2023,1.4
HHW_10,HHC_21,PER,CZ,2006,1.4
HHW_10,HHC_21,PER,CZ,2007,1.5
HHW_10,HHC_21,PER,CZ,2008,1.5
HHW_10,HHC_21,PER,CZ,2009,1.4
HHW_10,HHC_21,PER,CZ,2010,1.4
HHW_10,HHC_21,PER,CZ,2011,1.4
HHW_10,HHC_21,PER,CZ,2012,1.4
HHW_10,HHC_21,PER,CZ,2013,1.4
HHW_10,HHC_21,PER,CZ,2014,1.4
HHW_10,HHC_21,PER,CZ,2015,1.4
HHW_10,HHC_21,PER,CZ,2016,1.4
HHW_10,HHC_21,PER,CZ,2017,1.5
HHW_10,HHC_21,PER,CZ,2018,1.4
HHW_10,HHC_21,PER,CZ,2019,1.5
HHW_10,HHC_21,PER,CZ,2020,1.4
HHW_10,HHC_21,PER,CZ,2021,1.4
HHW_10,HHC_21,PER,CZ,2022,1.4
HHW_10,HHC_21,PER,CZ,2023,1.5
HHW_10,HHC_21,PER,DE,2006,1.4
HHW_10,HHC_21,PER,DE,2007,1.4
HHW_10,HHC_21,PER,DE,2008,1.4
HHW_10,HHC_21,PER,DE,2009,1.4
HHW_10,HHC_21,PER,DE,2010,1.4
HHW_10,HHC_21,PER,DE,2011,1.4
HHW_10,HHC_21,PER,DE,2012,1.4
HHW_10,HHC_21,PER,DE,2013,1.4
HHW_10,HHC_21,PER,DE,2014,1.4
HHW_10,HHC_21,PER,DE,2015,1.4
HHW_10,HHC_21,PER,DE,2016,1.4
HHW_10,HHC_21,PER,DE,2017,1.4
HHW_10,HHC_21,PER,DE,2018,1.4
HHW_10,HHC_21,PER,DE,2019,1.4
HHW_10,HHC_21,PER,DE,2020,1.4
HHW_10,HHC_21,PER,DE,2021,1.4
HHW_10,HHC_21,PER,DE,2022,1.4
HHW_10,HHC_21,PER,DE,2023,1.4
HHW_10,HHC_21,PER,DK,2011,1.6
HHW_10,HHC_21,PER,DK,2012,1.6
HHW_10,HHC_21,PER,DK,2013,1.5
HHW_10,HHC_21,PER,DK,2014,1.6
HHW_10,HHC_21,PER,DK,2015,1.6
HHW_10,HHC_21,PER,DK,2016,1.6
HHW_10,HHC_21,PER,DK,2017,1.6
HHW_10,HHC_21,PER,DK,2018,1.6
HHW_10,HHC_21,PER,DK,2019,1.5
HHW_10,HHC_21,PER,DK,2020,1.6
HHW_10,HHC_21,PER,DK,2021,1.5
HHW_10,HHC_21,PER,DK,2022,1.5
HHW_10,HHC_21,PER,DK,2023,1.5
HHW_10,HHC_21,PER,EE,2006,1.4
HHW_10,HHC_21,PER,EE,2007,1.4
HHW_10,HHC_21,PER,EE,2008,1.4
HHW_10,HHC_21,PER,EE,2009,1.4
HHW_10,HHC_21,PER,EE,2010,1.3
HHW_10,HHC_21,PER,EE,2011,1.3
HHW_10,HHC_21,PER,EE,2012,1.3
HHW_10,HHC_21,PER,EE,2013,1.3
HHW_10,HHC_21,PER,EE,2014,1.3
HHW_10,HHC_21,PER,EE,2015,1.3
HHW_10,HHC_21,PER,EE,2016,1.3
HHW_10,HHC_21,PER,EE,2017,1.4
HHW_10,HHC_21,PER,EE,2018,1.4
HHW_10,HHC_21,PER,EE,2019,1.5
HHW_10,HHC_21,PER,EE,2020,1.5
HHW_10,HHC_21,PER,EE,2021,1.4
HHW_10,HHC_21,PER,EE,2022,1.5
HHW_10,HHC_21,PER,EE,2023,1.6
HHW_10,HHC_21,PER,EL,2006,1.4
HHW_10,HHC_21,PER,EL,2007,1.4
HHW_10,HHC_21,PER,EL,2008,1.4
HHW_10,HHC_21,PER,EL,2009,1.3
HHW_10,HHC_21,PER,EL,2010,1.4
HHW_10,HHC_21,PER,EL,2011,1.4
HHW_10,HHC_21,PER,EL,2012,1.4
HHW_10,HHC_21,PER,EL,2013,1.4
HHW_10,HHC_21,PER,EL,2014,1.4
HHW_10,HHC_21,PER,EL,2015,1.4
HHW_10,HHC_21,PER,EL,2016,1.4
HHW_10,HHC_21,PER,EL,2017,1.5
HHW_10,HHC_21,PER,EL,2018,1.5
HHW_10,HHC_21,PER,EL,2019,1.5
HHW_10,HHC_21,PER,EL,2020,1.5
HHW_10,HHC_21,PER,EL,2021,1.4
HHW_10,HHC_21,PER,EL,2022,1.7
HHW_10,HHC_21,PER,EL,2023,1.6
HHW_10,HHC_21,PER,ES,2006,1.3
HHW_10,HHC_21,PER,ES,2007,1.3
HHW_10,HHC_21,PER,ES,2008,1.3
HHW_10,HHC_21,PER,ES,2009,1.3
HHW_10,HHC_21,PER,ES,2010,1.3
HHW_10,HHC_21,PER,ES,2011,1.3
HHW_10,HHC_21,PER,ES,2012,1.3
HHW_10,HHC_21,PER,ES,2013,1.3
HHW_10,HHC_21,PER,ES,2014,1.4
HHW_10,HHC_21,PER,ES,2015,1.3
HHW_10,HHC_21,PER,ES,2016,1.3
HHW_10,HHC_21,PER,ES,2017,1.4
HHW_10,HHC_21,PER,ES,2018,1.3
HHW_10,HHC_21,PER,ES,2019,1.4
HHW_10,HHC_21,PER,ES,2020,1.3
HHW_10,HHC_21,PER,ES,2021,1.4
HHW_10,HHC_21,PER,ES,2022,1.4
HHW_10,HHC_21,PER,ES,2023,1.5
HHW_10,HHC_21,PER,FI,2006,1.4
HHW_10,HHC_21,PER,FI,2007,1.5
HHW_10,HHC_21,PER,FI,2008,1.5
HHW_10,HHC_21,PER,FI,2009,1.5
HHW_10,HHC_21,PER,FI,2010,1.4
HHW_10,HHC_21,PER,FI,2011,1.5
HHW_10,HHC_21,PER,FI,2012,1.3
HHW_10,HHC_21,PER,FI,2013,1.4
HHW_10,HHC_21,PER,FI,2014,1.5
HHW_10,HHC_21,PER,FI,2015,1.4
HHW_10,HHC_21,PER,FI,2016,1.4
HHW_10,HHC_21,PER,FI,2017,1.6
HHW_10,HHC_21,PER,FI,2018,1.5
HHW_10,HHC_21,PER,FI,2019,1.6
HHW_10,HHC_21,PER,FI,2020,1.7
HHW_10,HHC_21,PER,FI,2021,1.5
HHW_10,HHC_21,PER,FI,2022,1.6
HHW_10,HHC_21,PER,FI,2023,1.5
HHW_10,HHC_21,PER,FR,2006,1.5
HHW_10,HHC_21,PER,FR,2007,1.5
HHW_10,HHC_21,PER,FR,2008,1.5
HHW_10,HHC_21,PER,FR,2009,1.5
HHW_10,HHC_21,PER,FR,2010,1.5
HHW_10,HHC_21,PER,FR,2011,1.5
HHW_10,HHC_21,PER,FR,2012,1.5
HHW_10,HHC_21,PER,FR,2013,1.5
HHW_10,HHC_21,PER,FR,2014,1.5
HHW_10,HHC_21,PER,FR,2015,1.5
HHW_10,HHC_21,PER,FR,2016,1.5
HHW_10,HHC_21,PER,FR,2017,1.5
HHW_10,HHC_21,PER,FR,2018,1.5
HHW_10,HHC_21,PER,FR,2019,1.5
HHW_10,HHC_21,PER,FR,2020,1.5
HHW_10,HHC_21,PER,FR,2021,1.5
HHW_10,HHC_21,PER,FR,2022,1.6
HHW_10,HHC_21,PER,FR,2023,1.6
HHW_10,HHC_21,PER,HR,2006,1.4
HHW_10,HHC_21,PER,HR,2007,1.3
HHW_10,HHC_21,PER,HR,2008,1.3
HHW_10,HHC_21,PER,HR,2009,1.4
HHW_10,HHC_21,PER,HR,2010,1.4
HHW_10,HHC_21,PER,HR,2011,1.3
HHW_10,HHC_21,PER,HR,2012,1.3
HHW_10,HHC_21,PER,HR,2013,1.4
HHW_10,HHC_21,PER,HR,2014,1.3
HHW_10,HHC_21,PER,HR,2015,1.4
HHW_10,HHC_21,PER,HR,2016,1.5
HHW_10,HHC_21,PER,HR,2017,1.3
HHW_10,HHC_21,PER,HR,2018,1.5
HHW_10,HHC_21,PER,HR,2019,1.6
HHW_10,HHC_21,PER,HR,2020,1.7
HHW_10,HHC_21,PER,HR,2021,1.4
HHW_10,HHC_21,PER,HR,2022,1.3
HHW_10,HHC_21,PER,HR,2023,1.7
HHW_10,HHC_21,PER,HU,2006,1.4
HHW_10,HHC_21,PER,HU,2007,1.4
HHW_10,HHC_21,PER,HU,2008,1.4
HHW_10,HHC_21,PER,HU,2009,1.4
HHW_10,HHC_21,PER,HU,2010,1.4
HHW_10,HHC_21,PER,HU,2011,1.4
HHW_10,HHC_21,PER,HU,2012,1.4
HHW_10,HHC_21,PER,HU,2013,1.4
HHW_10,HHC_21,PER,HU,2014,1.5
